PLZ;Ortsteile;Ort;Landkreis;einwohner
65520;Bad Camberg;Bad Camberg;Landkreis Limburg-Weilburg;13931
61348;Bad Homburg vor der Höhe;Bad Homburg vor der Höhe;Hochtaunuskreis;13333
61352;Bad Homburg vor der Höhe;Bad Homburg vor der Höhe;Hochtaunuskreis;16594
61350;Bad Homburg vor der Höhe;Bad Homburg vor der Höhe;Hochtaunuskreis;21470
61231;Bad Nauheim;Bad Nauheim;Wetteraukreis;30209
65812;Bad Soden am Taunus;Bad Soden am Taunus ;Main-Taunus-Kreis;21203
61118;Bad Vilbel;Bad Vilbel;Wetteraukreis;31268
35510;Butzbach;Butzbach;Wetteraukreis;23912
65817;Eppstein;Eppstein;Main-Taunus-Kreis;13327
65760;Eschborn;Eschborn;Main-Taunus-Kreis;20317
61197;Florstadt;Florstadt;Wetteraukreis;8786
60308;Westend-Süd;Frankfurt am Main;kreisfreie Stadt;0
60549;Flughafen;Frankfurt am Main;kreisfreie Stadt;12
60329;Bahnhofsviertel, Gallus, Gutleutviertel, Innenstadt;Frankfurt am Main;kreisfreie Stadt;4313
60313;Altstadt, Innenstadt;Frankfurt am Main;kreisfreie Stadt;4558
60438;Kalbach-Riedberg;Frankfurt am Main;kreisfreie Stadt;4696
60311;Altstadt, Innenstadt;Frankfurt am Main;kreisfreie Stadt;5428
60325;Bockenheim, Gallus, Westend-Süd;Frankfurt am Main;kreisfreie Stadt;8394
60323;Westend-Nord, Westend-Süd;Frankfurt am Main;kreisfreie Stadt;8529
60327;Gallus, Gutleutviertel, Westend-Süd;Frankfurt am Main;kreisfreie Stadt;9767
60314;Fechenheim, Ostend;Frankfurt am Main;kreisfreie Stadt;10109
60596;Sachsenhausen-Nord;Frankfurt am Main;kreisfreie Stadt;11512
60322;Dornbusch, Innenstadt, Nordend-West, Westend-Nord, Westend-Süd;Frankfurt am Main;kreisfreie Stadt;12931
65936;Nied, Sossenheim;Frankfurt am Main;kreisfreie Stadt;15625
60487;Bockenheim, Hausen, Rödelheim, Westend-Süd;Frankfurt am Main;kreisfreie Stadt;15648
60320;Dornbusch, Eckenheim, Nordend-West, Westend-Nord, Westend-Süd;Frankfurt am Main;kreisfreie Stadt;15818
60594;Sachsenhausen-Nord;Frankfurt am Main;kreisfreie Stadt;15913
60489;Rödelheim;Frankfurt am Main;kreisfreie Stadt;16988
65934;Höchst, Nied;Frankfurt am Main;kreisfreie Stadt;17477
60318;Innenstadt, Nordend-Ost, Nordend-West;Frankfurt am Main;kreisfreie Stadt;17913
60598;Sachsenhausen-Nord, Sachsenhausen-Süd;Frankfurt am Main;kreisfreie Stadt;18427
60388;Bergen-Enkheim, Seckbach;Frankfurt am Main;kreisfreie Stadt;18712
60486;Bockenheim, Gallus, Rödelheim, Westend-Süd;Frankfurt am Main;kreisfreie Stadt;19141
60488;Hausen, Praunheim, Rödelheim;Frankfurt am Main;kreisfreie Stadt;19506
60529;Schwanheim;Frankfurt am Main;kreisfreie Stadt;20099
65931;Sindlingen, Zeilsheim;Frankfurt am Main;kreisfreie Stadt;20603
60326;Gallus, Griesheim;Frankfurt am Main;kreisfreie Stadt;20809
60386;Bornheim, Fechenheim, Riederwald, Seckbach;Frankfurt am Main;kreisfreie Stadt;21018
60316;Nordend-West, Nordend-Ost, Ostend ;Frankfurt am Main;kreisfreie Stadt;21128
60599;Oberrad, Sachsenhausen-Nord, Sachsenhausen-Süd;Frankfurt am Main;kreisfreie Stadt;21441
65933;Griesheim;Frankfurt am Main;kreisfreie Stadt;22187
60431;Bockenheim, Dornbusch, Eschersheim, Ginnheim, Praunheim, Westend-Nord;Frankfurt am Main;kreisfreie Stadt;22625
60528;Niederrad, Sachsenhausen-Nord, Sachsenhausen-Süd, Schwanheim;Frankfurt am Main;kreisfreie Stadt;22825
60389;Bergen-Enkheim, Bornheim, Nordend-Ost, Nordend-West, Seckbach;Frankfurt am Main;kreisfreie Stadt;23031
60433;Bonames, Dornbusch, Eschersheim, Frankfurter Berg, Preungesheim;Frankfurt am Main;kreisfreie Stadt;23869
65929;Höchst, Unterliederbach;Frankfurt am Main;kreisfreie Stadt;28067
60435;Berkersheim, Bornheim, Dornbusch, Eckenheim, Nordend-West, Preungesheim;Frankfurt am Main;kreisfreie Stadt;29833
60437;Bonames, Harheim, Kalbach-Riedberg, Nieder-Erlenbach, Nieder-Eschbach, Niederursel;Frankfurt am Main;kreisfreie Stadt;31230
60385;Bornheim, Nordend-Ost, Ostend;Frankfurt am Main;kreisfreie Stadt;33049
60439;Heddernheim, Kalbach-Riedberg, Niederursel, Praunheim;Frankfurt am Main;kreisfreie Stadt;35056
60312;Innenstadt;Frankfurt am Main (Omniturm);kreisfreie Stadt;0
60306;Westend-Süd;Frankfurt am Main (Opernturm);kreisfreie Stadt;0
60310;Innenstadt;Frankfurt am Main (Taunusturm);kreisfreie Stadt;0
61169;Friedberg (Hessen);Friedberg (Hessen);Wetteraukreis;27355
61381;Friedrichsdorf;Friedrichsdorf;Hochtaunuskreis;24223
61479;Glashütten (Taunus);Glashütten;Hochtaunuskreis;5234
61279;Grävenwiesbach;Grävenwiesbach;Hochtaunuskreis;5194
63454;Hanau, Kesselstadt, Mittelbuchen;Hanau;Main-Kinzig-Kreis;14749
65795;Hattersheim;Hattersheim;Main-Taunus-Kreis;24747
65719;Hofheim am Taunus;Hofheim am Taunus;Main-Taunus-Kreis;37735
65510;Idstein, Hünstetten;Idstein, Hünstetten;Rheingau-Taunus-Kreis;33269
61184;Karben;Karben;Wetteraukreis;21144
65779;Kelkheim;Kelkheim;Main-Taunus-Kreis;27670
65451;Kelsterbach;Kelsterbach;Kreis Groß-Gerau;13315
61462;Königstein im Taunus;Königstein;Hochtaunuskreis;15711
65830;Kriftel;Kriftel;Main-Taunus-Kreis;10580
61476;Kronberg im Taunus;Kronberg;Hochtaunuskreis;17793
65835;Liederbach am Taunus;Liederbach am Taunus;Main-Taunus-Kreis;8688
63477;Maintal;Maintal;Main-Kinzig-Kreis;35827
63165;Mühlheim am Main;Mühlheim am Main;Landkreis Offenbach;26967
61267;Neu-Anspach;Neu-Anspach;Hochtaunuskreis;14710
63263;Neu-Isenburg;Neu-Isenburg;Landkreis Offenbach;34716
61194;Niddatal;Niddatal;Wetteraukreis;9302
61130;Nidderau;Nidderau;Main-Kinzig-Kreis;19874
61138;Niederdorfelden;Niederdorfelden;Main-Kinzig-Kreis;3727
65527;Niedernhausen;Niedernhausen;Rheingau-Taunus-Kreis;14408
61239;Ober-Mörlen;Ober-Mörlen;Wetteraukreis;5762
61440;Oberursel (Taunus);Oberursel;Hochtaunuskreis;44125
63073;Bieber;Offenbach am Main;kreisfreie Stadt;14253
63075;Bürgel, Offenbach am Main, Rumpenheim, Waldheim;Offenbach am Main;kreisfreie Stadt;15878
63065;Offenbach am Main;Offenbach am Main;kreisfreie Stadt;17169
63067;Offenbach am Main, Kaiserlei;Offenbach am Main;kreisfreie Stadt;18560
63071;Offenbach am Main, Tempelsee;Offenbach am Main;kreisfreie Stadt;21159
63069;Lauterborn, Offenbach am Main, Rosenhöhe;Offenbach am Main;kreisfreie Stadt;26222
61203;Reichelsheim (Wetterau);Reichelsheim;Wetteraukreis;6778
61191;Rosbach v.d. Höhe;Rosbach v. d. Höhe;Wetteraukreis;11931
61389;Schmitten;Schmitten;Hochtaunuskreis;8849
61137;Schöneck (Hessen);Schöneck;Main-Kinzig-Kreis;11633
65824;Schwalbach am Taunus;Schwalbach am Taunus;Main-Taunus-Kreis;14729
61449;Steinbach (Taunus);Steinbach;Hochtaunuskreis;10058
65843;Sulzbach (Taunus);Sulzbach (Taunus);Main-Taunus-Kreis;8304
61250;Usingen;Usingen;Hochtaunuskreis;13329
65529;Waldems;Waldems;Rheingau-Taunus-Kreis;5210
61273;Wehrheim;Wehrheim;Hochtaunuskreis;9274
61276;Weilrod;Weilrod;Hochtaunuskreis;6277
61206;Wöllstadt;Wöllstadt;Wetteraukreis;6123
